"Trade_Code";"Trade_Cls";"TradeExternal_Cls";"Trade_Name";"Contact_Person";"Address1";"Address2";"City";"Postal_Code";"Telephone";"Fax";"Email";"Country_Cls";"Last_Update"
"800031";"001";"V";"PT. ANEKA KIMIA RAYA (SO)";"Mr.Mychle Irnanto";"Wisma AKR,Level 7-8,Jl.Panjang";"No.5,Kebon Jeruk";"JAKARTA 11530";"";"0215311110";"0215311044";"";"ID";"4/3/2021 10:56:00 AM"
"800041";"001";"V";"PT. ANGGANA JAYA MANDIRI (SO)";"Mr. Sandi";"Jakarta";"";"JAKARTA";"";"0217253521";"0217253522";"";"ID";"4/3/2021 10:56:00 AM"
"800050";"000";"V";"ANTA TIRTA KIRANA (SO)~PT.";"Mrs. Nenny";"Green Garden Blok Z-4 No.26";"Jakarta Barat";"Jakarta";"";"0215814017";"0215814018";"nenny@antatirta.co.id";"ID";"4/3/2021 10:56:00 AM"
"800051";"001";"V";"ANTA TIRTA KIRANA~PT.";"Mrs. Nenny";"Green Garden Blok Z-4 No.26";"Jakarta Barat";"Jakarta";"";"0215814017";"0215814018";"nenny@antatirta.co.id";"ID";"4/3/2021 10:56:00 AM"
"800060";"000";"V";"PT. ANUGERAH TRI TUNGGAL (SO)";"Ms. Lily";"Komplek Perkantoran Roxy Mas";"Blok B1 /23-24";"Jakarta";"10150";"02189982277";"02189982277";"";"ID";"4/3/2021 10:56:00 AM"
"800061";"001";"V";"ANUGERAH TRITUNGGAL~PT.";"Mr.ANDIK";"JL. Irian Blok NN 1-2 Kawasan";"Industri MM2100, Cibitung";"Bekasi";"";"02189982315";"02189982315";"";"ID";"4/3/2021 10:56:00 AM"
"800071";"001";"V";"ARKAFITI~CV.";"Ms. Ema";"Jl. Kalioyod No. 96 wanci";"mekar kota baru";"Karawang";"";"0264312209";"0264312209";"";"ID";"4/3/2021 10:56:00 AM"
"800080";"000";"V";"CV. AROMA (SO)";"Mr. Ali Besar";"113-115 Jalan Timor";"Medan 20231";"MEDAN";"";"0614530188";"0614527338";"";"ID";"4/3/2021 10:56:00 AM"
"800090";"000";"V";"BANGKIT JAYAA (SO)~CV.";"MR. ERICH LISAN";"Kawasan Industri & Pergudangan";"Maruda Center Blok E.1 No.3A";"Bekasi";"17211";"02129088202";"02129088204";"";"ID";"4/3/2021 10:56:00 AM"
"800350";"000";"V";"HERBA SCIENTIFIC INDONESIA (SO)~PT.";"Mr. Hardaning";"Jalan Cemara III No.23 Taman";"Yasmin Cilendek Timur Bogor";"Bogor";"";"0263287001";"";"";"ID";"4/3/2021 10:56:00 AM"
"800351";"001";"V";"HERBA SCIENTIFIC INDONESIA~PT.";"Mr. Hardaning";"Jalan Cemara III No.23 Taman";"Yasmin Cilendek Timur Bogor";"Bogor";"";"0263287001";"";"";"ID";"4/3/2021 10:56:00 AM"
"800360";"000";"V";"IFF (SO)~PT.";"Miss.Inita Gumulyo";"Jl.Otto Iskandardinata 74";"JAKARTA";"JAKARTA";"";"0218500074";"0218569323";"";"ID";"4/3/2021 10:56:00 AM"
"800361";"001";"V";"IFF~PT.";"Ms. Noviantie Lie";"Jl.Otto Iskandardinata 74";"JAKARTA";"JAKARTA";"";"0218500074";"0218569323";"Novianti.Lie@IFF.com";"ID";"4/3/2021 10:56:00 AM"
"800371";"001";"V";"PT. INTRAPARR NUSANTARA (SO)";"Ms. Melina";"Jl. Let.Jend. Suprapto 160";"Blok A-6, Jakarta";"Jakarta";"";"021421142728";"0214211426";"";"ID";"4/3/2021 10:56:00 AM"
"800381";"001";"V";"IWATANI~PT.";"Ms. Dewi";"Jl.Maligi I (KIIC)";"Karawang";"KARAWANG";"";"0218904310";"0218904372";"";"ID";"4/3/2021 10:56:00 AM"
"800391";"001";"V";"PT. JENINDO PRAKARSA (SO)";"Mr. Pohan";"Jl. Imam Bonjol 61A";"TANGERANG";"TANGERANG";"";"";"";"";"ID";"4/3/2021 10:56:00 AM"
"800401";"001";"V";"PT. JERINDO SARI UTAMA (SO)";"Bpk. Rudy Gerung";"JL. Cempaka Putih Raya C-20";"JAKARTA - 10510";"JAKARTA";"";"0214259412";"0214200889";"";"ID";"4/3/2021 10:56:00 AM"
"800410";"000";"V";"JJ-DEGUSSA CHEMICALS (SO)~PT.";"Mr. Joni Marwan";"Jl. Jend.Sudirman Kav.25";"JAKARTA";"JAKARTA";"";"0215205373";"0215205374";"";"ID";"4/3/2021 10:56:00 AM"
"800421";"001";"V";"PT. JUSTUS KIMIA RAYA";"Ms.Natali";"Jalan Kebon Jeruk 18/2A-B";"JAKARTA";"JAKARTA";"";"0216260596";"0216260901";"";"ID";"4/3/2021 10:56:00 AM"
"800430";"000";"V";"PT. JUTARASA ABADI (SO)";"Mr.Santoso Undoyo";"Jl. Rawa Udang No.3";"Kawasan Industri Pulo Gadung";"Jakarta 13920";"";"0214619555";"0214614031";"";"ID";"4/3/2021 10:56:00 AM"
"800441";"001";"V";"KARSAVICTA SATYA~PT.";"Mr. Gunawan Sutedjo";"Jl.K.H.Hasyim Ashari No. 3";"JAKARTA";"JAKARTA";"";"02163856667";"0216327719";"";"ID";"4/3/2021 10:56:00 AM"
"800451";"001";"V";"PT. KARYA CHEMICAL (SO)";"Mr. ARIEF";"JL. TEBET TIMUR DALAM RAYA 121";"JAKARTA 12820";"JAKARTA";"12820";"0218301332";"0218306847";"";"ID";"4/3/2021 10:56:00 AM"
"800461";"001";"V";"PT. KHARINDO PRAKARSA (SO)";"Miss Erlina";"Jl.Jati Baru no.64";"JAKARTA";"JAKARTA";"";"0213868241";"0213868248";"";"ID";"4/3/2021 10:56:00 AM"
"800470";"000";"V";"PT. KONDO INTERNATIONAL (SO)";"Ms.Rini";"30th Fl,Ratu Plaza,";"Jl. Jend.Sudirman,JAKARTA";"JAKARTA";"";"0215711051";"0215711052";"";"ID";"4/3/2021 10:56:00 AM"
"800761";"001";"V";"SUKANDA JAYA (ANCOL)~PT.";"Ms. Ita";"Jl. Pasir Putih Raya kav.1";"Ancol Timur";"";"";"0216405678";"0216450678";"";"ID";"4/3/2021 10:56:00 AM"
"800771";"001";"V";"PT. SUMBER ANEKA KARYA ABADI (SO)";"Miss Anita";"Jl.Batu Ceper No.2 B-C-E";"JAKARTA";"JAKARTA";"";"0213854444";"0213456712";"";"ID";"4/3/2021 10:56:00 AM"
"800781";"001";"V";"CV. SUMBER SARANA NIAGA (SO)";"Ms. Mimi / Ms. Ii";"JL.Dr.KRT.Radjiman Widjo";"Diningrat No.75,";"JAKARTA";"";"0214617515";"02146825709";"";"ID";"4/3/2021 10:56:00 AM"
"800791";"001";"V";"SUPER MARKET/TRADITIONAL MARKT";"";"MEGA M KARAWANG";"JL. TUPAREV KARAWANG";"KARAWANG";"";"0218853956";"";"";"ID";"4/3/2021 10:56:00 AM"
"800801";"001";"V";"SUPERMARKET (PANGAN ABADI)";"";"";"JAKARTA";"";"";"";"";"";"ID";"4/3/2021 10:56:00 AM"
"800811";"001";"V";"TAISHO INDONESIA~PT.";"Mr. Suherman";"Aminta Plaza Jl. TB Simatupang";"Kav.10, JAKARTA";"JAKARTA";"";"02175909424";"02175909426";"";"ID";"4/3/2021 10:56:00 AM"
"800821";"001";"V";"TANSRI GANI~PT.";"Mr. Soegiyanto";"JAKARTA";"";"";"";"0218711965";"0218711965";"";"ID";"4/3/2021 10:56:00 AM"
"800831";"001";"V";"TOKO SURYA ABADI (SO)";"Miss.Nilawati";"Karawang";"";"Karawang";"";"0267401584";"0267401584";"";"ID";"4/3/2021 10:56:00 AM"
"800840";"000";"V";"UDAYA ANUGERAH ABADI (SO)~PT.";"Mr. Cahyadi Rahardjo";"Jl.Danau Sunter Blok O- IV/35";"JAKARTA";"";"14350";"0216512792";"0216510694";"";"ID";"4/3/2021 10:56:00 AM"
"800841";"001";"V";"UDAYA ANUGERAH ABADI~PT.";"I made Sudiasa";"Jl.Danau Sunter Blok O- IV/35";"JAKARTA";"JAKARTA";"14350";"0216512792";"0216510694";"";"ID";"4/3/2021 10:56:00 AM"
"800851";"001";"V";"PT. UNION AJIDHARMA (SO)";"Ms.Satyawati";"Jl. Danau Sunter Blok O IV Kav";"25-26 Sunter Agung Podomoro";"JAKARTA";"";"0216511684";"0216510049";"";"ID";"4/3/2021 10:56:00 AM"
"800861";"001";"V";"PT. UNIRAMA DUTA NIAGA (SO)";"MR.HENDI";"JL.KELAPA DUA WETAN NO.9";"CIRACAS JAK-TIM";"JAKARTA";"";"0218710904";"0218719711";"";"ID";"4/3/2021 10:56:00 AM"
"800871";"001";"V";"PT. VANIA RAISSA (SO)";"Ms.Sekar";"JL. Garuda No. 26-26A";"JAKARTA PUSAT";"JAKARTA";"";"0214227686";"0214258804";"";"ID";"4/3/2021 10:56:00 AM"
"800881";"001";"V";"VNG FARM (SO)";"Mr. Acep";"Komp.PURI Cipageran Indah I";"Blok C No.12, Cimahi";"BANDUNG";"";"0226642883";"0226642883";"";"ID";"4/3/2021 10:56:00 AM"
"800891";"001";"V";"PT. WATTYL DIMED INDONESIA (SO)";"Bpk. Soemardjoko";"Jl.Rawagelam III No.1";"JAKARTA";"JAKARTA";"";"0214605710";"0214610454";"";"ID";"4/3/2021 10:56:00 AM"
"801141";"001";"V";"PT. BARCO";"Mr. Halim Suryadi";"Jalan Kencur 26 - 28";"PO. BOX 4261 Jkt 11042";"Jakarta";"14430";"0216914511";"0216922112";"";"ID";"4/3/2021 10:56:00 AM"
"801151";"001";"V";"PT. BERKAT KEMASAN KARTONINDO";"Ms. Suci";"Jl. Raya Pologebang No. 42 -45";"Rt 04/04 ,Pologebang, Cakung";"Jakarta Timur";"13950";"0214803129";"0214801577";"";"ID";"4/3/2021 10:56:00 AM"
"801160";"000";"V";"GRAND MULTI CHEMICALS  (SO)~PT.";"Ms. Agnes";"Wisma Bumiputera 8th Floor";"Jl.Jend Sudirman Kav.75";"Jakarta 12910";"";"0215703807";"0215710401";"";"ID";"4/3/2021 10:56:00 AM"
"801170";"000";"V";"PT. PRIME INGREDIENTS (SO)";"Mr. Hardawan Panghegar";"Jl. Raya Duri Kosambi No. 72-O";"Cengkareng - Jakarta";"";"11750";"02192908770";"0215413853";"";"ID";"4/3/2021 10:56:00 AM"
"801181";"001";"V";"PT. RYANNINDO PRIMA (SO)";"Mr. Chandra";"Jl. Alteri Kedoya No. 8";"Kedoya - Jakarta Barat";"";"";"02158300641";"0215813789";"";"ID";"4/3/2021 10:56:00 AM"
"801191";"001";"V";"TRAN INDAH KARYA~PT.";"Mr. Aris";"Jl. Telagasari Raya No.2";"Tangerang";"";"";"0215523076";"0217320302";"";"ID";"4/3/2021 10:56:00 AM"
"801201";"001";"V";"BERKAH JAYA";"Mr. Kiki / Mr. Henky Pranatyo";"Jl. Kapuk Raya No. 12B";"Jakarta Utara";"";"";"0215541316";"0215441316";"";"ID";"4/3/2021 10:56:00 AM"
"801210";"000";"V";"PT. SUMBER MUKTI LESTARI SENTA (SO) CI 801580";"Mr. Singgih Utomo";"KOMP. TAMAN  PALEM LESTARI";"BLOK A 30 NO. 23";"JAKARTA BARAT";"";"02155957750";"02155957751";"sumber.mukti@gmail.com";"ID";"4/3/2021 10:56:00 AM"
"801221";"001";"V";"PT. INTI SARANA (SO)";"Mr. Ferry Mardani";"Jl. Dewi Sartika No. 10";"";"Karawang";"41312";"081384727373";"0267407340";"";"ID";"4/3/2021 10:56:00 AM"
"801231";"001";"V";"SORINI AGRO ASIA~PT.";"Mr. Edward Pranajaya";"Wisma AKR";"Jl. Panjang No. 5, Kebon Jeruk";"Jakarta";"11530";"0215311110";"0215311025";"edward_pranajaya@cargill.com";"ID";"4/3/2021 10:56:00 AM"
"801241";"001";"V";"PT. SEKARAYA MAKMUR SEJATI (SO)";"Mr. Melvin";"Jl. Srengseng Raya 96A";"Kembangan";"Jakarta Barat";"11630";"0215871478";"0215865473";"";"ID";"4/3/2021 10:56:00 AM"
"801251";"001";"V";"PT. ADI KARYA MUKTI";"BRYAN MANEBU";"Jl.Meruya Ilir Raya";"Tmn Kebon Jeruk Blok A X/5";"Jakarta";"11630";"02158905815";"02158606018";"";"ID";"4/3/2021 10:56:00 AM"
"801261";"001";"V";"BUMITANGERANG MESINDOTAMA (BT. COCOA)~PT.";"Mrs. Monica Marshella";"Jl. Dipati Unus No. 27";"Cibodas-Tangerang";"Tangerang";"15138";"02155732161";"";"monica.marshella@btcocoa.com";"ID";"4/3/2021 10:56:00 AM"
"801270";"000";"V";"PT. PRATISTA ARJANA (SO)";"Mr. Helwin";"Jl. Nginden Intan Barat IV";"No. 33 - 35";"Surabaya";"60118";"0315992255";"0315925060";"helwin@pratistaarjana.com";"ID";"4/3/2021 10:56:00 AM"
"801271";"001";"V";"PRATISTA ARJANA~PT.";"Mr. Helwin";"Jl. Nginden Intan Barat IV";"No. 33 - 35";"Surabaya";"60118";"0315992255";"0315925060";"helwin@pratistaarjana.com";"ID";"4/3/2021 10:56:00 AM"
"801490";"000";"V";"BRENNTAG (SO)~PT.";"Ms. Tien (FL) Ms. Flavia (FR)";"GRAHA PRATAMA 17th FLOOR";"Jl. M.T. HARYONO Kav. 15";"JAK-SEL";"12810";"02183790755";"02183790760";"";"ID";"4/3/2021 10:56:00 AM"
"801491";"001";"V";"BRENNTAG~PT.";"Ms. Tien (FL), Ms. Flavia (FR)";"GRAHA PRATAMA 17th FLOOR";"JL. M.T. HARYONO Kav. 15";"JAK-SEL";"12810";"02183790755";"02183790760";"tien.nawangsih@brenntag-asia.com";"ID";"4/3/2021 10:56:00 AM"
"801501";"001";"V";"PERKEBUNAN NUSANTARA VIII~PT.";"Mr. Dodi";"Jl. Sindangsirna No.4";"";"Bandung";"40153";"0222038966";"0222033217";"";"ID";"4/3/2021 10:56:00 AM"
"801511";"001";"V";"PT. SMART TBK (SO) CI 802121";"Mr. Ruddy Prajanata";"Kelapa Gading Square";"Italian Blok I/7A";"Jakarta Utara";"14240";"";"";"ruddyprajanata@yahoo.co.id";"ID";"4/3/2021 10:56:00 AM"
"801521";"001";"V";"P.UPENA FIRDAUS";"";"Jl. Hasyim Ashari";"No. 80 C Dalam, Roxy";"Jakarta Pusat";"";"02198603880";"";"upenafirdaus@ymail.com";"ID";"4/3/2021 10:56:00 AM"
"801530";"000";"V";"MUSIM MAS (SO)~PT.";"Mr. Heng Yick Han / Ms. Asnah";"Jl. Oleo, Kaw Industri MDN 11";"Saentis-Percut Sei Tuan";"Deli Serdang - Medan";"20371";"0616871144";"0616871152";"yh.heng@icofgroup.com";"ID";"4/3/2021 10:56:00 AM"
"801531";"001";"V";"MUSIM MAS~PT.";"Mr. Heng Yick Han / Ms. Asnah";"Jl. Oleo, Kaw Industri MDN 11";"Saentis-Percut Sei Tuan";"Deli Serdang - Medan";"20371";"0616871144";"0616871152";"yh.heng@icofgroup.com";"ID";"4/3/2021 10:56:00 AM"
"801541";"001";"V";"PANTAI MAS~PT.";"Mr. Aris";"Ruko Harapan Indah";"Blok FB No.21";"Bekasi";"";"0218871069";"0218871925";"";"ID";"4/3/2021 10:56:00 AM"
"801550";"000";"V";"UNITED CHEMICALS (SO)~PT.";"Mr. Budiono";"Jl. Kesehatan Raya No. 21";"Jakarta Pusat";"Jakarta";"";"0213803805";"0213853539";"budiono@unitedchemical.com";"ID";"4/3/2021 10:56:00 AM"
"801551";"001";"V";"UNITED CHEMICALS~PT.";"Mr. Budiono";"Jl. Kesehatan Raya No. 21";"Jakarta Pusat";"Jakarta";"";"0213803805";"0213853539";"budiono@unitedchemical.com";"ID";"4/3/2021 10:56:00 AM"
"801561";"001";"V";"KUTILANG PAKSI MAS~PT.";"Mr. ILMI FAHRUR ROZI";"Graha Kutilang,Jl Limau I No28";"Kramat Pela,Kebayoran Baru";"Jakarta Selatan";"12130";"0217392349";"0217395017";"ilmi.fahrurrozi@kuilangpm.co.d";"ID";"4/3/2021 10:56:00 AM"
"801571";"001";"V";"SOLIHIN";"";"BREBES";"JAWA TENGAH -";"";"";"085878850768";"087830155883";"";"ID";"4/3/2021 10:56:00 AM"
"801580";"000";"V";"PT. GEMILANG KARUNIA ABADI (SO)";"Mr. Singgih Utomo";"Jl. Raya Puspitek No. 230";"Rt 15/04, Serpong, Setu";"Tangerang";"";"0217560448";"0217562461";"";"ID";"4/3/2021 10:56:00 AM"
"801581";"001";"V";"PT. GEMILANG KARUNIA ABADI";"Mr. Singgih Utomo";"Jl. Raya Puspitek No. 230";"Rt 15/04, Serpong, Setu";"Tangerang";"";"02175876586";"02175876587";"gemilang.ka@gmail.com";"ID";"4/3/2021 10:56:00 AM"
"801590";"000";"V";"PADI HIJAU BUANA (SO)~PT.";"Ms. Laurent / Ms. Pamela";"Ruko Mutiara, Taman Palem";"Blok C 10 No.2, Cengkareng";"Jakarta 11730";"11730";"02129020186";"02129020185";"larent@padihijaubuana.com";"ID";"4/3/2021 10:56:00 AM"
"801800";"000";"V";"TUNAS HARAPAN GEMILANG (SO)~PT.";"Mr. Marquis Irawan";"Taman Palem Lestari Ruko Fantasi";"Blok Z.2 No. 35, Cengkareng";"Jakarta Barat";"11730";"02123981115";"02155963468";"thg@cbn.net.id";"ID";"4/3/2021 10:56:00 AM"
"801801";"001";"V";"TUNAS HARAPAN GEMILANG~PT.";"Mr. Marquis Irawan";"Taman Palem Lestari Ruko Fantasi";"Blok Z.2 No. 35, Cengkareng";"Jakarta Barat";"11730";"02123981115";"02155963468";"thg@cbn.net.id";"ID";"4/3/2021 10:56:00 AM"
"801810";"000";"V";"VOX TRADING INDONESIA (SO)~PT.";"Masakazu Shiga";"Resona Perdania Bank Building 6th Floor";"Jl. Jend Sudirman Kav. 40-41";"Jakarta";"40210";"0215707350";"0215701960";"shiga@indosat.net.id / 031ms@voxtrading.jp";"ID";"4/3/2021 10:56:00 AM"
"801811";"001";"V";"VOX TRADING INDONESIA~PT.";"Masakazu Shiga";"Resona Perdania Bank Building 6th Floor";"Jl. Jend Sudirman Kav. 40-41";"Jakarta";"40210";"0215707350";"0215701960";"shiga@indosat.net.id / 031ms@voxtrading.jp";"ID";"4/3/2021 10:56:00 AM"
"801821";"001";"V";"SAMATOR GROUP (CHEMICAL DIVISION)";"MR. NICHO DARMAWAN";"8TH FLOOR GRAHA PANGERAN BUILDING";"JL. JEND A.YANI 286";"SURABAYA, JATIM, INDONESIA";"60234";"0318292727";"0318292709";"sip@samator.com";"ID";"4/3/2021 10:56:00 AM"
